_id,title,source_type,extracted_at,file_size_kb,language,status,content.text,content.word_count,metadata.author,metadata.pages,metadata.duration_sec,metadata.ocr_confidence
3d6d5f37ab13117b9f40eb74,Annual Report 2024 — IBU,pdf,2025-02-11 03:00:00,283.4,en,processed,Univerzitet je osnovao program za razmjenu studenata sa 15 partnera.,10,"Hodžić, Amina",48,0.0,0.0
4bd4f2e5596c6d73a1b09913,Campus Map Scan,image,2024-09-27 21:00:00,517.9,bs,extracted,The algorithm achieved 94.2% accuracy on the test set.,9,"Smith, John",0,0.0,0.61
ab913cf6186525361ed6a2a6,Lecture Recording — Week 3,audio,2024-10-26 07:00:00,682.3,bs,extracted,Sarajevo's Old Town features Ottoman-era architecture dating to the 15th century.,11,"Kovačević, Marko",0,2586.2,0.0
ee913316bb2bd7ba2273fbce,IBU Homepage Snapshot,web,2025-02-27 17:00:00,715.3,und,unknown,U izvještaju se navodi da je budžet za 2024. godinu 12.500 KM.,12,"Doe, Jane",0,0.0,0.0
06fc331d755996ef61435125,Financial Statement Q3,pdf,2024-09-02 05:00:00,203.5,und,reviewed,Die Bibliothek enthält über 50.000 Bände in verschiedenen Sprachen.,9,"Bešić, Adnan",49,0.0,0.0
7ee2d6b305f90cb01da5fd46,Handwritten Exam Page 1,image,2024-11-26 03:00:00,443.6,bs,extracted,Student enrollment dropped by 8% compared to the previous academic year.,11,,0,0.0,0.73
d4c489f32c9447770fe55818,Interview with Alumni,audio,2024-11-07 01:00:00,1168.3,en,extracted,Cijena karte za konferenciju iznosi 150 KM po osobi.,9,"Hadžić, Lejla",0,1381.4,0.0
7ce0d2e02b8b92326c56fd01,Moodle Course Page — IT 2012,web,2025-01-20 09:00:00,588.0,en,extracted,"The web scraping pipeline extracted 2,340 pages in under 10 minutes.",11,"Bešić, Adnan",0,0.0,0.0
2ca68f659d143465950a101e,Student Enrollment Analysis,pdf,2024-09-18 01:00:00,1029.3,sr,extracted,Ministarstvo obrazovanja je donijelo novu uredbu 15.03.2024 o reformi.,9,"Hodžić, Amina",7,0.0,0.0
177ed5047a628383caba18d7,Historical Photo Archive,image,2024-12-07 08:00:00,456.8,en,processed,OCR confidence was low due to poor scan quality and handwriting.,11,"Bešić, Adnan",0,0.0,0.68
691bf404c1bbf74327a9fc2e,Faculty Meeting Minutes Audio,audio,2024-11-08 22:00:00,221.9,bs,processed,Predmet IT 2012 pokriva obradu nestrukturiranih podataka.,7,"Kovačević, Marko",0,2633.0,0.0
1f2c959799181ce912882411,Wikipedia — Sarajevo,web,2024-10-12 14:00:00,832.0,und,processed,Faculty members published 23 papers in Scopus-indexed journals.,8,"Hodžić, Amina",0,0.0,0.0
0baf55ef34dc1b898dca3743,Research Ethics Policy,pdf,2024-10-27 21:00:00,989.7,und,processed,"The image resolution is 300 DPI, sufficient for text extraction.",10,"Johnson, Alex",21,0.0,0.0
